text,label
问责领导(上黄镇党委书记张涛，宣国才真能一手遮天吗？),2
江歌事件:教会孩子，善良的同时更要懂得保护自己!,1
"绝味鸭脖广告""开黄腔""引众怒 ""双11""这么拼值吗?",2
央视曝光!如东一医药企业将槽罐车改成垃圾车，夜间偷排高浓度废水,2
恶劣至极，央视都曝光了!南通如东一医药企业将槽罐车改成洒水车，夜间偷排高浓度废水...丢大发了!,2
央视曝光!南通一医药企业夜间偷排高浓度废水...丢脸!,2
粉丝爆料:五洲国际无锡项目涉嫌诈骗、非法集资,2
年内约10起锂电重组失败 资本对高估值收购说“不”,1
男子梦想一夜暴富持水泥块砸机,2
北京多家法院供暖纠纷:案件主体为供暖费追缴山海网,2
手机号、、开头的注意!看完吓得冷汗都出来了搜...搜狐,2
网红“土坯房书记”落马的背后,2
曾经的品质烤肉，两年你就这么难吃了,2
土俄军火交易再起波折，鱼熊无法兼顾，土或成美俄交锋牺牲品搜狐军事搜狐网,2
我在一个叫“闲鱼”的网上交易平台购买了一个代付款服务，就是我要在国外网站上购物,2
标题:,2
这伙是他自已说的教育废品，文不能作文。一篇文章写着写着就不知道是跑到了天涯还是奔向了海角。教育出来的废品，这应该与儒无关，几千年来，儒家文明从未教出此等废品的。,2
车震视频外泄:执法为何出现“娱乐化”倾向?,2
全球警戒!美官方称海外美国人或面临恐袭危险法治中国,2
图信宜市区一男子疑饮醉竟“濑尿”打开车门趴在驾驶室,2
江歌案在日本开审:真相便是代价，不必逢迎想象-中国焦点新闻网,2
九江大桥被举报“空心桥墩”,2
女子裸贷发裸照后没收到钱反遭敲诈,2
马蓉现身打扮似少女跟朋友热聊,1
忻州:男子烧垃圾被罚元，理由却是如此奇葩,2
...联播西安一饭店违规燃放烟花爆竹,2
耶路撒冷中央车站发生持刀袭击事件,2
紧急通知:正在看微信的你不要轻易透露这串数字!马上告诉家里人!,1
“教科书式耍赖”受害者经鉴定因车祸而死,2
袁立手撕演员的诞生节目组，走后门失败反帅锅给小导演?,1
...月份生了宝宝之后没有多久就患上了产后抑郁症，性...爱问知识人,2
女子将岁孩子撞飞米外,2
应踩雷受害人-曝光诈骗平台酷有财法人已跑路!,2
挖掘机权属不清又转卖,2
驾驶员操作失误液化气泄漏燃烧爆炸致人死亡搜狐新闻搜狐网,2
揭医美行业乱象:从业人员素质低,2
这位官员参加电视问政曾被批太圆滑,2
北极熊肌肉萎缩暴瘦，为求生存翻垃圾桶找食物,2
香港抽血验-是儿子，婆婆不信非要我打掉。,2
男子电话招嫖发现卖淫女是同乡 报警将其解救,2
